site_id,region,water_source,pH,turbidity_ntu,dissolved_oxygen_mgL,nitrates_mgL,ec_uscm,sampling_date,ph_category,tb_category,dissolved_oxygen,nitrates,electric_cond,Water_Status,source_type
W0030,Mashonaland East,Mazowe River,5.71,107.62,4.89,28.95,389.57,2025-01-30,acidic,unsafe,Low (poor),unsafe,normal(acceptable),UNSAFE,River
W0031,Matabeleland South,Gwayi River,8.62,88.78,3.09,14.65,1190.79,2025-01-31,basic,unsafe,Low (poor),unsafe,unsafe,UNSAFE,River
W0032,Mashonaland Central,Mutare Borehole,5.69,42.31,8.51,4.52,1457.61,2025-02-01,acidic,normal,normal(healthy),normal(acceptable),unsafe,UNSAFE,Borehole
W0033,Mashonaland West,Mutare Borehole,5.57,136.64,9.65,10.27,430.88,2025-02-02,acidic,unsafe,very Good,unsafe,normal(acceptable),UNSAFE,Borehole
W0034,Mashonaland Central,Save River,8.08,7.72,11.26,12.4,443.77,2025-02-03,basic,normal,very Good,unsafe,normal(acceptable),UNSAFE,River
W0035,Masvingo,Mutare Borehole,9.19,17.31,6.38,22.75,735.7,2025-02-04,basic,normal,normal(healthy),unsafe,normal(acceptable),UNSAFE,Borehole
W0036,Mashonaland West,Manyame River,8.82,59.35,11.01,22.3,1476.57,2025-02-05,basic,unsafe,very Good,unsafe,unsafe,UNSAFE,River
W0037,Matabeleland South,Bulawayo Borehole,7.63,19.54,10.78,18.36,439.99,2025-02-06,basic,normal,very Good,unsafe,normal(acceptable),UNSAFE,Borehole
W0038,Masvingo,Umzingwane Dam,8.89,143.51,5.17,3.18,640.11,2025-02-07,basic,unsafe,normal(healthy),normal(acceptable),normal(acceptable),UNSAFE,Dam
W0039,Bulawayo,Gwayi River,5.52,119.9,10.69,4.55,1342.65,2025-02-08,acidic,unsafe,very Good,normal(acceptable),unsafe,UNSAFE,River
W0040,Mashonaland East,Bulawayo Borehole,9.11,39.59,5.76,2.81,54.24,2025-02-09,basic,normal,normal(healthy),Low (safe),Low (fresh),UNSAFE,Borehole
W0041,Matabeleland South,Harare Borehole,7.32,88.69,4.97,17.32,107.66,2025-02-10,neutral,unsafe,Low (poor),unsafe,Low (fresh),UNSAFE,Borehole
W0042,Bulawayo,Mazowe River,8.17,147.37,8.49,26.31,925.9,2025-02-11,basic,unsafe,normal(healthy),unsafe,normal(acceptable),UNSAFE,River
W0043,Midlands,Manyame River,8.54,132.75,5.28,13.01,1365.7,2025-02-12,basic,unsafe,normal(healthy),unsafe,unsafe,UNSAFE,River
W0044,Matabeleland South,Gwayi River,8.16,90.52,8.3,4.83,396.34,2025-02-13,basic,unsafe,normal(healthy),normal(acceptable),normal(acceptable),UNSAFE,River
W0045,Midlands,Bulawayo Borehole,7.48,135.65,8.1,16.74,730.98,2025-02-14,neutral,unsafe,normal(healthy),unsafe,normal(acceptable),UNSAFE,Borehole
W0046,Mashonaland West,Mazowe River,7.26,148.39,7.63,24.35,703.17,2025-02-15,neutral,unsafe,normal(healthy),unsafe,normal(acceptable),UNSAFE,River
W0047,Bulawayo,Save River,8.6,111.76,5.8,22.25,735.81,2025-02-16,basic,unsafe,normal(healthy),unsafe,normal(acceptable),UNSAFE,River
W0048,Mashonaland East,Manyame River,6.26,10.68,7.48,26.44,952.65,2025-02-17,acidic,normal,normal(healthy),unsafe,normal(acceptable),UNSAFE,River
W0049,Masvingo,Manyame River,9.08,60.84,7.96,8.34,731.13,2025-02-18,basic,unsafe,normal(healthy),normal(acceptable),normal(acceptable),UNSAFE,River
W0050,Matabeleland North,Save River,8.13,125.84,7.46,5.82,698.83,2025-02-19,basic,unsafe,normal(healthy),normal(acceptable),normal(acceptable),UNSAFE,River
W0051,Mashonaland Central,Umzingwane Dam,6.24,35.35,6.44,26.39,737.72,2025-02-20,acidic,normal,normal(healthy),unsafe,normal(acceptable),UNSAFE,Dam
W0052,Harare,Save River,8.22,124.77,2.15,19.73,906.76,2025-02-21,basic,unsafe,Low (poor),unsafe,normal(acceptable),UNSAFE,River
W0053,Mashonaland East,Manyame River,7.46,18.93,7.87,9.33,828.66,2025-02-22,neutral,normal,normal(healthy),normal(acceptable),normal(acceptable),SAFE,River
W0054,Bulawayo,Manyame River,8.12,7.99,3.68,22.27,1288.5,2025-02-23,basic,normal,Low (poor),unsafe,unsafe,UNSAFE,River
W0055,Matabeleland North,Bulawayo Borehole,8.34,58.23,8.43,24.45,121.77,2025-02-24,basic,unsafe,normal(healthy),unsafe,Low (fresh),UNSAFE,Borehole
W0056,Mashonaland East,Mutare Borehole,5.82,6.47,9.59,18.45,1258.31,2025-02-25,acidic,normal,very Good,unsafe,unsafe,UNSAFE,Borehole
W0057,Bulawayo,Mazowe River,7.37,143.63,7.0,20.64,1273.69,2025-02-26,neutral,unsafe,normal(healthy),unsafe,unsafe,UNSAFE,River
W0058,Manicaland,Save River,8.95,124.1,7.42,11.26,463.12,2025-02-27,basic,unsafe,normal(healthy),unsafe,normal(acceptable),UNSAFE,River
W0059,Manicaland,Mazowe River,6.69,120.31,11.51,16.16,721.14,2025-02-28,neutral,unsafe,very Good,unsafe,normal(acceptable),UNSAFE,River
W0060,Midlands,Save River,7.7,94.84,10.47,15.72,685.88,2025-03-01,basic,unsafe,very Good,unsafe,normal(acceptable),UNSAFE,River
W0061,Mashonaland East,Harare Borehole,6.87,33.23,11.14,25.44,366.84,2025-03-02,neutral,normal,very Good,unsafe,normal(acceptable),UNSAFE,Borehole
W0062,Manicaland,Manyame River,7.18,78.22,10.14,25.2,625.36,2025-03-03,neutral,unsafe,very Good,unsafe,normal(acceptable),UNSAFE,River
W0063,Bulawayo,Mutare Borehole,7.53,89.99,3.09,24.98,114.36,2025-03-04,basic,unsafe,Low (poor),unsafe,Low (fresh),UNSAFE,Borehole
W0064,Midlands,Bulawayo Borehole,7.53,79.23,3.49,0.33,452.84,2025-03-05,basic,unsafe,Low (poor),Low (safe),normal(acceptable),UNSAFE,Borehole
W0065,Bulawayo,Mutare Borehole,6.25,39.77,7.27,22.49,1234.19,2025-03-06,acidic,normal,normal(healthy),unsafe,unsafe,UNSAFE,Borehole
W0066,Midlands,Mutare Borehole,8.03,77.77,4.46,22.76,462.62,2025-03-07,basic,unsafe,Low (poor),unsafe,normal(acceptable),UNSAFE,Borehole
W0067,Mashonaland East,Mutare Borehole,5.83,74.19,6.77,20.35,1236.4,2025-03-08,acidic,unsafe,normal(healthy),unsafe,unsafe,UNSAFE,Borehole
W0068,Matabeleland North,Mazowe River,6.01,149.45,5.94,22.69,820.82,2025-03-09,acidic,unsafe,normal(healthy),unsafe,normal(acceptable),UNSAFE,River
W0069,Masvingo,Save River,5.51,134.72,7.49,25.26,1325.8,2025-03-10,acidic,unsafe,normal(healthy),unsafe,unsafe,UNSAFE,River
W0070,Matabeleland South,Gweru Borehole,5.93,70.04,9.47,14.11,883.43,2025-03-11,acidic,unsafe,very Good,unsafe,normal(acceptable),UNSAFE,Borehole
W0071,Matabeleland North,Harare Borehole,7.25,93.82,9.15,15.06,93.02,2025-03-12,neutral,unsafe,very Good,unsafe,Low (fresh),UNSAFE,Borehole
W0072,Mashonaland West,Gwayi River,7.74,112.43,7.21,3.74,1029.36,2025-03-13,basic,unsafe,normal(healthy),normal(acceptable),unsafe,UNSAFE,River
W0073,Bulawayo,Mutare Borehole,8.44,6.19,10.22,11.56,115.04,2025-03-14,basic,normal,very Good,unsafe,Low (fresh),UNSAFE,Borehole
W0074,Mashonaland West,Umzingwane Dam,5.89,134.34,6.31,19.3,703.37,2025-03-15,acidic,unsafe,normal(healthy),unsafe,normal(acceptable),UNSAFE,Dam
W0075,Matabeleland North,Mazowe River,8.65,129.16,10.97,23.41,1397.67,2025-03-16,basic,unsafe,very Good,unsafe,unsafe,UNSAFE,River
W0076,Midlands,Bulawayo Borehole,8.26,69.16,2.71,6.52,289.55,2025-03-17,basic,unsafe,Low (poor),normal(acceptable),Low (fresh),UNSAFE,Borehole
W0077,Matabeleland South,Gwayi River,7.01,59.28,11.55,4.13,615.31,2025-03-18,neutral,unsafe,very Good,normal(acceptable),normal(acceptable),UNSAFE,River
W0078,Matabeleland South,Gweru Borehole,8.95,41.67,8.55,19.89,1108.3,2025-03-19,basic,normal,normal(healthy),unsafe,unsafe,UNSAFE,Borehole
W0079,Harare,Umzingwane Dam,9.17,72.02,5.8,0.06,1329.27,2025-03-20,basic,unsafe,normal(healthy),Low (safe),unsafe,UNSAFE,Dam
W0080,Matabeleland South,Gweru Borehole,6.26,7.61,3.97,5.35,1022.87,2025-03-21,acidic,normal,Low (poor),normal(acceptable),unsafe,UNSAFE,Borehole
W0081,Masvingo,Gwayi River,6.9,127.98,6.79,0.87,424.35,2025-03-22,neutral,unsafe,normal(healthy),Low (safe),normal(acceptable),UNSAFE,River
W0082,Matabeleland South,Mutare Borehole,8.93,6.28,3.95,5.01,1028.18,2025-03-23,basic,normal,Low (poor),normal(acceptable),unsafe,UNSAFE,Borehole
W0083,Matabeleland North,Umzingwane Dam,8.17,50.03,3.66,5.44,480.26,2025-03-24,basic,unsafe,Low (poor),normal(acceptable),normal(acceptable),UNSAFE,Dam
W0084,Harare,Gweru Borehole,5.68,139.81,8.17,11.63,1091.72,2025-03-25,acidic,unsafe,normal(healthy),unsafe,unsafe,UNSAFE,Borehole
W0085,Matabeleland North,Bulawayo Borehole,8.39,110.55,7.23,12.07,1433.35,2025-03-26,basic,unsafe,normal(healthy),unsafe,unsafe,UNSAFE,Borehole
W0086,Matabeleland North,Save River,8.56,42.93,8.7,26.23,1096.02,2025-03-27,basic,normal,normal(healthy),unsafe,unsafe,UNSAFE,River
W0087,Mashonaland Central,Manyame River,8.28,38.64,11.3,15.3,1301.18,2025-03-28,basic,normal,very Good,unsafe,unsafe,UNSAFE,River
W0088,Harare,Save River,8.46,1.76,7.32,21.7,53.05,2025-03-29,basic,Low Clear,normal(healthy),unsafe,Low (fresh),UNSAFE,River
W0089,Matabeleland North,Gwayi River,8.55,104.66,7.81,3.12,1090.48,2025-03-30,basic,unsafe,normal(healthy),normal(acceptable),unsafe,UNSAFE,River
W0090,Mashonaland Central,Mazowe River,6.19,8.27,2.9,6.76,1252.9,2025-03-31,acidic,normal,Low (poor),normal(acceptable),unsafe,UNSAFE,River
W0091,Mashonaland Central,Manyame River,6.37,80.36,9.18,21.09,108.81,2025-04-01,acidic,unsafe,very Good,unsafe,Low (fresh),UNSAFE,River
W0092,Harare,Harare Borehole,7.84,144.36,6.0,1.58,1313.82,2025-04-02,basic,unsafe,normal(healthy),Low (safe),unsafe,UNSAFE,Borehole
W0093,Mashonaland West,Bulawayo Borehole,8.86,17.31,11.77,14.6,422.21,2025-04-03,basic,normal,very Good,unsafe,normal(acceptable),UNSAFE,Borehole
W0094,Midlands,Harare Borehole,6.67,134.28,10.23,17.98,1014.67,2025-04-04,neutral,unsafe,very Good,unsafe,unsafe,UNSAFE,Borehole
W0095,Masvingo,Umzingwane Dam,7.68,148.73,7.22,18.06,1210.51,2025-04-05,basic,unsafe,normal(healthy),unsafe,unsafe,UNSAFE,Dam
W0096,Midlands,Manyame River,8.03,10.17,3.23,0.69,1010.86,2025-04-06,basic,normal,Low (poor),Low (safe),unsafe,UNSAFE,River
W0097,Matabeleland South,Harare Borehole,7.17,132.55,10.59,9.66,183.81,2025-04-07,neutral,unsafe,very Good,normal(acceptable),Low (fresh),UNSAFE,Borehole
W0098,Masvingo,Harare Borehole,8.14,77.9,10.0,19.09,914.67,2025-04-08,basic,unsafe,very Good,unsafe,normal(acceptable),UNSAFE,Borehole
W0099,Matabeleland South,Gweru Borehole,8.83,136.07,3.85,4.47,846.9,2025-04-09,basic,unsafe,Low (poor),normal(acceptable),normal(acceptable),UNSAFE,Borehole
W0100,Matabeleland North,Save River,7.81,86.13,4.95,20.86,1355.47,2025-04-10,basic,unsafe,Low (poor),unsafe,unsafe,UNSAFE,River
W0101,Bulawayo,Gweru Borehole,7.5,99.65,9.93,22.38,636.15,2025-04-11,neutral,unsafe,very Good,unsafe,normal(acceptable),UNSAFE,Borehole
W0102,Harare,Manyame River,7.12,82.02,3.85,29.46,515.57,2025-04-12,neutral,unsafe,Low (poor),unsafe,normal(acceptable),UNSAFE,River
W0103,Masvingo,Manyame River,7.64,129.81,11.18,6.3,1137.28,2025-04-13,basic,unsafe,very Good,normal(acceptable),unsafe,UNSAFE,River
W0104,Masvingo,Gwayi River,6.81,110.35,6.25,24.75,648.38,2025-04-14,neutral,unsafe,normal(healthy),unsafe,normal(acceptable),UNSAFE,River
W0105,Matabeleland North,Gweru Borehole,6.95,78.67,2.87,15.61,986.84,2025-04-15,neutral,unsafe,Low (poor),unsafe,normal(acceptable),UNSAFE,Borehole
W0106,Mashonaland West,Tugwi-Mukosi Dam,7.47,130.36,10.16,11.2,987.35,2025-04-16,neutral,unsafe,very Good,unsafe,normal(acceptable),UNSAFE,Dam
W0107,Mashonaland Central,Save River,5.75,37.55,5.74,3.67,1337.66,2025-04-17,acidic,normal,normal(healthy),normal(acceptable),unsafe,UNSAFE,River
W0108,Matabeleland North,Manyame River,6.35,24.44,7.26,22.07,918.1,2025-04-18,acidic,normal,normal(healthy),unsafe,normal(acceptable),UNSAFE,River
W0109,Manicaland,Gwayi River,7.51,24.9,3.12,7.08,778.12,2025-04-19,basic,normal,Low (poor),normal(acceptable),normal(acceptable),UNSAFE,River
W0110,Mashonaland Central,Gweru Borehole,7.1,50.77,2.03,11.14,251.36,2025-04-20,neutral,unsafe,Low (poor),unsafe,Low (fresh),UNSAFE,Borehole
W0111,Harare,Save River,6.73,36.56,8.38,1.88,217.82,2025-04-21,neutral,normal,normal(healthy),Low (safe),Low (fresh),SAFE,River
W0112,Mashonaland Central,Gweru Borehole,8.2,139.58,7.15,24.04,273.77,2025-04-22,basic,unsafe,normal(healthy),unsafe,Low (fresh),UNSAFE,Borehole
W0113,Mashonaland West,Harare Borehole,8.07,16.77,7.94,23.0,299.18,2025-04-23,basic,normal,normal(healthy),unsafe,Low (fresh),UNSAFE,Borehole
W0114,Mashonaland Central,Gwayi River,6.12,105.15,9.94,22.01,974.92,2025-04-24,acidic,unsafe,very Good,unsafe,normal(acceptable),UNSAFE,River
W0115,Harare,Save River,8.75,29.19,8.47,8.98,1124.42,2025-04-25,basic,normal,normal(healthy),normal(acceptable),unsafe,UNSAFE,River
W0116,Mashonaland West,Mutare Borehole,7.33,132.36,3.75,5.2,818.49,2025-04-26,neutral,unsafe,Low (poor),normal(acceptable),normal(acceptable),UNSAFE,Borehole
W0117,Midlands,Umzingwane Dam,8.24,144.24,5.61,19.13,1252.08,2025-04-27,basic,unsafe,normal(healthy),unsafe,unsafe,UNSAFE,Dam
W0118,Masvingo,Umzingwane Dam,7.62,70.36,11.06,14.88,1487.33,2025-04-28,basic,unsafe,very Good,unsafe,unsafe,UNSAFE,Dam
W0119,Masvingo,Save River,9.19,131.98,9.7,5.35,1239.02,2025-04-29,basic,unsafe,very Good,normal(acceptable),unsafe,UNSAFE,River
W0120,Matabeleland South,Gweru Borehole,8.28,1.77,7.57,20.58,1057.58,2025-04-30,basic,Low Clear,normal(healthy),unsafe,unsafe,UNSAFE,Borehole
W0121,Midlands,Gwayi River,8.12,123.17,4.56,29.73,822.11,2025-05-01,basic,unsafe,Low (poor),unsafe,normal(acceptable),UNSAFE,River
W0122,Midlands,Umzingwane Dam,8.38,35.07,5.02,22.42,700.84,2025-05-02,basic,normal,normal(healthy),unsafe,normal(acceptable),UNSAFE,Dam
W0123,Mashonaland Central,Gwayi River,6.03,136.4,9.32,22.2,172.37,2025-05-03,acidic,unsafe,very Good,unsafe,Low (fresh),UNSAFE,River
W0124,Masvingo,Umzingwane Dam,6.26,1.17,10.51,28.51,629.08,2025-05-04,acidic,Low Clear,very Good,unsafe,normal(acceptable),UNSAFE,Dam
W0125,Harare,Harare Borehole,8.14,83.87,8.71,6.09,1369.7,2025-05-05,basic,unsafe,normal(healthy),normal(acceptable),unsafe,UNSAFE,Borehole
W0126,Mashonaland East,Gweru Borehole,7.33,113.74,10.1,16.97,1221.63,2025-05-06,neutral,unsafe,very Good,unsafe,unsafe,UNSAFE,Borehole
W0127,Mashonaland East,Harare Borehole,8.29,39.54,9.67,29.39,363.27,2025-05-07,basic,normal,very Good,unsafe,normal(acceptable),UNSAFE,Borehole
W0128,Mashonaland West,Umzingwane Dam,5.88,29.78,3.5,4.96,726.58,2025-05-08,acidic,normal,Low (poor),normal(acceptable),normal(acceptable),UNSAFE,Dam
W0129,Masvingo,Mutare Borehole,7.48,13.53,6.24,21.01,1234.25,2025-05-09,neutral,normal,normal(healthy),unsafe,unsafe,UNSAFE,Borehole
W0130,Masvingo,Mutare Borehole,6.9,49.64,3.53,17.57,147.71,2025-05-10,neutral,normal,Low (poor),unsafe,Low (fresh),UNSAFE,Borehole
W0131,Mashonaland East,Harare Borehole,7.19,84.42,4.35,17.59,611.72,2025-05-11,neutral,unsafe,Low (poor),unsafe,normal(acceptable),UNSAFE,Borehole
W0132,Masvingo,Mutare Borehole,7.73,18.26,10.69,20.93,1285.17,2025-05-12,basic,normal,very Good,unsafe,unsafe,UNSAFE,Borehole
W0133,Mashonaland Central,Umzingwane Dam,7.36,57.13,6.73,27.89,635.65,2025-05-13,neutral,unsafe,normal(healthy),unsafe,normal(acceptable),UNSAFE,Dam
W0134,Manicaland,Save River,7.5,2.35,7.35,23.48,162.54,2025-05-14,neutral,Low Clear,normal(healthy),unsafe,Low (fresh),UNSAFE,River
W0135,Bulawayo,Harare Borehole,7.3,122.98,3.78,1.68,836.67,2025-05-15,neutral,unsafe,Low (poor),Low (safe),normal(acceptable),UNSAFE,Borehole
W0136,Midlands,Mazowe River,7.01,20.14,5.12,25.58,1299.53,2025-05-16,neutral,normal,normal(healthy),unsafe,unsafe,UNSAFE,River
W0137,Matabeleland South,Gweru Borehole,8.36,43.22,4.3,6.77,905.91,2025-05-17,basic,normal,Low (poor),normal(acceptable),normal(acceptable),UNSAFE,Borehole
W0138,Mashonaland West,Mutare Borehole,5.55,3.75,4.06,11.31,378.1,2025-05-18,acidic,Low Clear,Low (poor),unsafe,normal(acceptable),UNSAFE,Borehole
W0139,Manicaland,Mutare Borehole,7.71,65.4,8.38,13.85,607.15,2025-05-19,basic,unsafe,normal(healthy),unsafe,normal(acceptable),UNSAFE,Borehole
W0140,Mashonaland East,Manyame River,7.59,126.18,4.57,14.43,702.68,2025-05-20,basic,unsafe,Low (poor),unsafe,normal(acceptable),UNSAFE,River
W0141,Midlands,Tugwi-Mukosi Dam,8.15,59.43,8.32,13.06,889.94,2025-05-21,basic,unsafe,normal(healthy),unsafe,normal(acceptable),UNSAFE,Dam
W0142,Masvingo,Harare Borehole,7.72,27.75,2.58,28.12,1151.06,2025-05-22,basic,normal,Low (poor),unsafe,unsafe,UNSAFE,Borehole
W0143,Matabeleland South,Bulawayo Borehole,8.56,113.3,3.42,21.18,193.37,2025-05-23,basic,unsafe,Low (poor),unsafe,Low (fresh),UNSAFE,Borehole
W0144,Masvingo,Mutare Borehole,9.05,118.53,4.75,18.94,1340.0,2025-05-24,basic,unsafe,Low (poor),unsafe,unsafe,UNSAFE,Borehole
W0145,Harare,Gweru Borehole,6.77,26.89,7.97,1.5,67.85,2025-05-25,neutral,normal,normal(healthy),Low (safe),Low (fresh),SAFE,Borehole
W0146,Harare,Mazowe River,6.34,115.86,8.76,27.12,586.58,2025-05-26,acidic,unsafe,normal(healthy),unsafe,normal(acceptable),UNSAFE,River
W0147,Matabeleland South,Mutare Borehole,7.07,142.15,6.43,27.28,89.76,2025-05-27,neutral,unsafe,normal(healthy),unsafe,Low (fresh),UNSAFE,Borehole
W0148,Matabeleland South,Mazowe River,6.57,25.79,6.46,23.41,619.81,2025-05-28,neutral,normal,normal(healthy),unsafe,normal(acceptable),UNSAFE,River
W0149,Mashonaland East,Umzingwane Dam,7.78,115.88,9.25,0.21,812.43,2025-05-29,basic,unsafe,very Good,Low (safe),normal(acceptable),UNSAFE,Dam
W0150,Matabeleland South,Umzingwane Dam,8.87,106.58,2.16,1.72,791.94,2025-05-30,basic,unsafe,Low (poor),Low (safe),normal(acceptable),UNSAFE,Dam
W0151,Mashonaland Central,Tugwi-Mukosi Dam,6.01,71.56,5.41,6.76,290.16,2025-05-31,acidic,unsafe,normal(healthy),normal(acceptable),Low (fresh),UNSAFE,Dam
W0152,Masvingo,Save River,5.87,9.63,10.19,3.94,986.32,2025-06-01,acidic,normal,very Good,normal(acceptable),normal(acceptable),UNSAFE,River
W0153,Manicaland,Bulawayo Borehole,6.45,12.13,8.03,11.97,114.93,2025-06-02,acidic,normal,normal(healthy),unsafe,Low (fresh),UNSAFE,Borehole
W0154,Matabeleland North,Manyame River,8.19,128.01,5.37,27.68,1154.76,2025-06-03,basic,unsafe,normal(healthy),unsafe,unsafe,UNSAFE,River
W0155,Matabeleland South,Tugwi-Mukosi Dam,7.69,148.53,11.06,14.16,1422.63,2025-06-04,basic,unsafe,very Good,unsafe,unsafe,UNSAFE,Dam
W0156,Mashonaland West,Gwayi River,5.88,101.73,9.73,0.4,542.66,2025-06-05,acidic,unsafe,very Good,Low (safe),normal(acceptable),UNSAFE,River
W0157,Harare,Manyame River,8.9,67.45,4.65,8.48,800.0,2025-06-06,basic,unsafe,Low (poor),normal(acceptable),normal(acceptable),UNSAFE,River
W0158,Mashonaland Central,Harare Borehole,8.42,97.49,8.45,1.34,599.42,2025-06-07,basic,unsafe,normal(healthy),Low (safe),normal(acceptable),UNSAFE,Borehole
W0159,Midlands,Gweru Borehole,5.59,89.56,7.96,1.09,59.73,2025-06-08,acidic,unsafe,normal(healthy),Low (safe),Low (fresh),UNSAFE,Borehole
W0160,Matabeleland North,Gwayi River,7.91,58.16,6.01,8.27,609.52,2025-06-09,basic,unsafe,normal(healthy),normal(acceptable),normal(acceptable),UNSAFE,River
W0161,Manicaland,Gwayi River,8.35,10.78,5.67,8.27,1197.99,2025-06-10,basic,normal,normal(healthy),normal(acceptable),unsafe,UNSAFE,River
W0162,Matabeleland North,Tugwi-Mukosi Dam,6.89,123.41,5.44,23.61,914.18,2025-06-11,neutral,unsafe,normal(healthy),unsafe,normal(acceptable),UNSAFE,Dam
W0163,Matabeleland South,Save River,5.76,56.4,8.17,29.25,196.83,2025-06-12,acidic,unsafe,normal(healthy),unsafe,Low (fresh),UNSAFE,River
W0164,Mashonaland East,Tugwi-Mukosi Dam,5.79,123.0,6.42,11.14,1278.35,2025-06-13,acidic,unsafe,normal(healthy),unsafe,unsafe,UNSAFE,Dam
W0165,Harare,Harare Borehole,5.89,38.62,10.32,12.87,820.07,2025-06-14,acidic,normal,very Good,unsafe,normal(acceptable),UNSAFE,Borehole
