sample_id,species,sample_type,supplier_id,weight_mg,pH,moisture_pct,collection_date
S0080,Curcuma longa,leaf,SUP-A,667.18,4.34,4.81,2025-03-21
S0081,Lavandula angustifolia,root,SUP-D,879.47,6.21,9.91,2025-03-22
S0082,Curcuma longa,flower,SUP-B,488.86,3.86,6.1,2025-03-23
S0083,Mentha spicata,flower,SUP-D,324.51,6.1,8.46,2025-03-24
S0084,Curcuma longa,flower,SUP-A,725.91,4.08,10.55,2025-03-25
S0085,Lavandula angustifolia,flower,SUP-A,280.21,4.38,13.36,2025-03-26
S0086,Lavandula angustifolia,flower,SUP-D,423.13,4.38,3.59,2025-03-27
S0087,Rosmarinus officinalis,root,SUP-C,116.69,6.98,14.99,2025-03-28
S0088,Mentha spicata,root,SUP-C,71.55,7.46,12.42,2025-03-29
S0089,Curcuma longa,stem,SUP-A,868.25,6.66,4.23,2025-03-30
S0090,Rosmarinus officinalis,flower,SUP-A,760.58,8.51,16.1,2025-03-31
S0091,Curcuma longa,root,SUP-C,641.58,5.64,16.81,2025-04-01
S0092,Curcuma longa,stem,SUP-C,397.61,5.2,3.92,2025-04-02
S0093,Rosmarinus officinalis,flower,SUP-D,197.3,8.06,7.15,2025-04-03
S0094,Rosmarinus officinalis,leaf,SUP-D,182.97,4.9,15.09,2025-04-04
S0095,Rosmarinus officinalis,stem,SUP-C,262.71,8.52,14.22,2025-04-05
S0096,Rosmarinus officinalis,root,SUP-D,516.84,3.86,5.77,2025-04-06
S0097,Rosmarinus officinalis,leaf,SUP-D,657.41,8.55,6.14,2025-04-07
S0098,Curcuma longa,leaf,SUP-B,611.17,4.01,8.56,2025-04-08
S0099,Rosmarinus officinalis,leaf,SUP-D,287.94,8.17,10.27,2025-04-09
S0100,Mentha spicata,stem,SUP-A,861.64,6.39,12.27,2025-04-10
S0101,Lavandula angustifolia,root,SUP-D,677.21,8.67,8.53,2025-04-11
S0102,Rosmarinus officinalis,leaf,SUP-D,521.2,4.16,9.94,2025-04-12
S0103,Rosmarinus officinalis,flower,SUP-C,569.96,6.51,14.21,2025-04-13
S0104,Curcuma longa,leaf,SUP-A,406.66,8.55,3.55,2025-04-14
S0105,Rosmarinus officinalis,leaf,SUP-D,260.57,6.36,6.79,2025-04-15
S0106,Rosmarinus officinalis,stem,SUP-D,352.58,6.88,13.7,2025-04-16
S0107,Rosmarinus officinalis,stem,SUP-B,694.17,7.21,16.43,2025-04-17
S0108,Curcuma longa,root,SUP-D,62.23,6.03,10.68,2025-04-18
S0109,Rosmarinus officinalis,flower,SUP-D,148.66,6.88,10.98,2025-04-19
S0110,Lavandula angustifolia,stem,SUP-B,89.1,6.66,4.61,2025-04-20
S0111,Curcuma longa,leaf,SUP-C,84.62,8.22,9.71,2025-04-21
S0112,Lavandula angustifolia,root,SUP-D,777.14,4.02,10.99,2025-04-22
S0113,Curcuma longa,leaf,SUP-B,648.11,5.18,6.64,2025-04-23
S0114,Rosmarinus officinalis,leaf,SUP-A,453.05,8.46,7.04,2025-04-24
S0115,Lavandula angustifolia,stem,SUP-C,133.16,8.16,8.66,2025-04-25
S0116,Curcuma longa,root,SUP-A,467.87,6.03,3.3,2025-04-26
S0117,Mentha spicata,flower,SUP-A,452.45,6.84,7.83,2025-04-27
S0118,Rosmarinus officinalis,flower,SUP-B,197.22,5.16,6.17,2025-04-28
S0119,Curcuma longa,stem,SUP-D,418.77,4.72,7.91,2025-04-29
S0120,Mentha spicata,stem,SUP-B,388.73,6.07,4.8,2025-04-30
S0121,Curcuma longa,root,SUP-B,573.47,5.53,16.36,2025-05-01
S0122,Mentha spicata,flower,SUP-B,589.83,6.66,11.9,2025-05-02
S0123,Rosmarinus officinalis,flower,SUP-B,88.51,4.18,13.19,2025-05-03
S0124,Lavandula angustifolia,flower,SUP-C,368.42,8.57,14.84,2025-05-04
S0125,Mentha spicata,leaf,SUP-D,581.98,8.63,10.48,2025-05-05
S0126,Curcuma longa,flower,SUP-A,477.67,7.22,4.3,2025-05-06
S0127,Rosmarinus officinalis,leaf,SUP-A,778.02,6.43,11.06,2025-05-07
S0128,Mentha spicata,root,SUP-D,609.89,5.32,11.8,2025-05-08
S0129,Curcuma longa,leaf,SUP-A,188.49,7.79,14.18,2025-05-09
S0130,Curcuma longa,root,SUP-D,109.98,7.16,9.47,2025-05-10
S0131,Curcuma longa,flower,SUP-A,596.06,4.6,4.91,2025-05-11
S0132,Mentha spicata,flower,SUP-B,72.53,8.26,7.26,2025-05-12
S0133,Mentha spicata,root,SUP-A,547.91,7.83,8.45,2025-05-13
S0134,Mentha spicata,stem,SUP-D,849.2,8.45,12.69,2025-05-14
S0135,Lavandula angustifolia,root,SUP-D,539.15,7.36,11.56,2025-05-15
S0136,Mentha spicata,stem,SUP-D,379.94,6.81,8.34,2025-05-16
S0137,Mentha spicata,leaf,SUP-D,596.79,5.85,17.8,2025-05-17
S0138,Mentha spicata,leaf,SUP-D,439.51,8.37,12.09,2025-05-18
S0139,Lavandula angustifolia,leaf,SUP-C,513.77,8.04,6.56,2025-05-19
S0140,Mentha spicata,flower,SUP-C,850.25,4.02,4.53,2025-05-20
S0141,Curcuma longa,leaf,SUP-A,378.19,3.93,5.29,2025-05-21
S0142,Mentha spicata,stem,SUP-D,867.01,5.64,6.69,2025-05-22
S0143,Curcuma longa,leaf,SUP-A,819.55,7.77,5.41,2025-05-23
S0144,Curcuma longa,root,SUP-D,216.42,8.64,5.8,2025-05-24
S0145,Curcuma longa,root,SUP-D,108.96,4.54,7.28,2025-05-25
S0146,Lavandula angustifolia,flower,SUP-C,135.66,6.71,5.6,2025-05-26
S0147,Lavandula angustifolia,root,SUP-C,65.49,5.67,16.45,2025-05-27
S0148,Lavandula angustifolia,stem,SUP-B,130.28,8.55,4.2,2025-05-28
S0149,Mentha spicata,leaf,SUP-C,630.56,7.93,10.87,2025-05-29
S0150,Curcuma longa,flower,SUP-B,110.51,7.91,9.16,2025-05-30
